x,y,periodo,fuente
-84.1052462,9.9380595,2024_2,Vivienda
-84.1535122,9.9873453,2024_2,Vivienda
-84.1890646,9.9393369,2024_2,Vivienda
-84.1336192,9.9420336,2024_2,Vivienda
-84.19372059999999,9.9449085,2024_2,Vivienda
-84.01499290000001,9.9832874,2024_2,Vivienda
-84.19372059999999,9.9449085,2024_2,Vivienda
-84.0900133,9.9340494,2024_2,Vivienda
-84.0573219,9.9269957,2024_2,Vivienda
-83.6740748,9.3475903,2024_2,Vivienda
-84.1714226,10.0033306,2024_2,Vivienda
-83.7199136,10.5125832,2024_2,Vivienda
-84.0768598,9.9326926,2024_2,Vivienda
-84.0841227,9.8959752,2024_2,Vivienda
-84.1820735,9.9312697,2024_2,Vivienda
-83.9261469,10.3276065,2024_2,Vivienda
-83.9966946,9.9019436,2024_2,Vivienda
-84.0769962,9.9335379,2024_2,Vivienda
-84.11382549999999,9.9416871,2024_2,Vivienda
-84.0933652,9.8641706,2024_2,Vivienda
-84.01499290000001,9.9832874,2024_2,Vivienda
-84.0039922,9.900823,2024_2,Vivienda
-84.0616709,9.8969706,2024_2,Vivienda
-84.0386633,9.9145505,2024_2,Vivienda
-85.2528421,9.9924778,2024_2,Vivienda
-84.03047579999999,9.9801511,2024_2,Vivienda
-84.4698471,10.0867575,2024_2,Vivienda
-84.2077923,9.9676582,2024_2,Vivienda
-84.0386633,9.9145505,2024_2,Vivienda
-84.1382368,9.8899694,2024_2,Vivienda
-84.0768598,9.9326926,2024_2,Vivienda
-84.0557369,9.9330574,2024_2,Vivienda
-83.9214896,9.7250952,2024_2,Vivienda
-84.1351663,9.9772861,2024_2,Vivienda
-84.34325539999999,10.0490439,2024_2,Vivienda
-84.1707901,9.9916333,2024_2,Vivienda
-83.9274473,9.8869369,2024_2,Vivienda
-84.0775201,9.964000000000002,2024_2,Vivienda
-83.9274473,9.8869369,2024_2,Vivienda
-83.910495,9.8795697,2024_2,Vivienda
-83.91619349999999,9.8638091,2024_2,Vivienda
-84.1535122,9.9873453,2024_2,Vivienda
-83.9188416,9.8610783,2024_2,Vivienda
-84.05968949999999,9.9296083,2024_2,Vivienda
-84.05960209999999,9.9500893,2024_2,Vivienda
-84.1954478,10.0003984,2024_2,Vivienda
-84.0616709,9.8969706,2024_2,Vivienda
-84.0478311,9.9620675,2024_2,Vivienda
-84.12768179999999,9.9454071,2024_2,Vivienda
-84.0458176,9.8688951,2024_2,Vivienda
-84.08540169999999,9.9104636,2024_2,Vivienda
-84.1557145,9.9608515,2024_2,Vivienda
-84.659401,10.5371919,2024_2,Vivienda
-83.9929431,9.945804100000002,2024_2,Vivienda
-83.97606359999999,9.9069966,2024_2,Vivienda
-83.9880863,9.9060735,2024_2,Vivienda
-84.0808215,9.9077338,2024_2,Vivienda
-84.08540169999999,9.9104636,2024_2,Vivienda
-84.10201029999999,9.8977516,2024_2,Vivienda
-84.0536463,9.9466031,2024_2,Vivienda
-84.0218675,9.9131706,2024_2,Vivienda
-84.1522641,9.9371833,2024_2,Vivienda
-84.0478311,9.9620675,2024_2,Vivienda
-84.24631880000001,9.9892098,2024_2,Vivienda
-84.3122803,10.0731003,2024_2,Vivienda
-83.9234756,9.8715811,2024_2,Vivienda
-84.7350701,9.9816061,2024_2,Vivienda
-84.2419551,9.9143307,2024_2,Vivienda
-83.04150779999999,9.9913106,2024_2,Vivienda
-84.3122803,10.0731003,2024_2,Vivienda
-84.21417009999999,10.0159394,2024_2,Vivienda
-84.0536463,9.9466031,2024_2,Vivienda
-84.1062242,9.8936301,2024_2,Vivienda
-84.04215230000001,9.9285234,2024_2,Vivienda
-84.06214039999999,9.8860516,2024_2,Vivienda
-84.0747275,9.9257827,2024_2,Vivienda
-84.0411929,9.932062,2024_2,Vivienda
-83.5096859,10.0981388,2024_2,Vivienda
-83.04150779999999,9.9913106,2024_2,Vivienda
-84.0876009,9.8656257,2024_2,Vivienda
-84.0299601,9.8852915,2024_2,Vivienda
-84.430677,10.3271511,2024_2,Vivienda
-84.0808215,9.9077338,2024_2,Vivienda
-84.14349659999999,9.9205004,2024_2,Vivienda
-84.01938609999999,9.9295888,2024_2,Vivienda
-84.0208353,9.6606886,2024_2,Vivienda
-84.0478311,9.9620675,2024_2,Vivienda
-83.97606359999999,9.9069966,2024_2,Vivienda
-83.8664076,9.839214,2024_2,Vivienda
-84.3450028,10.017349,2024_2,Vivienda
-84.0044672,9.9704799,2024_2,Vivienda
-83.04150779999999,9.9913106,2024_2,Vivienda
-84.180458,9.9924027,2024_2,Vivienda
-84.0219991,9.9517808,2024_2,Vivienda
-83.4051154,9.1671613,2024_2,Vivienda
-84.0841227,9.8959752,2024_2,Vivienda
-84.667374,9.9906919,2024_2,Vivienda
-84.1909841,9.9576385,2024_2,Vivienda
-83.6961197,9.3660235,2024_2,Vivienda
-84.0299601,9.8852915,2024_2,Vivienda
-83.99781139999999,9.9409762,2024_2,Vivienda
-84.10631370000002,9.9065146,2024_2,Vivienda
-83.98709099999999,9.968875,2024_2,Vivienda
-84.0963568,9.9968552,2024_2,Vivienda
-85.11162639999999,9.6830171,2024_2,Vivienda
-84.2380877,10.0089051,2024_2,Vivienda
-83.92008419999999,9.8650002,2024_2,Vivienda
-83.67739279999999,9.7539596,2024_2,Vivienda
-84.1318386,10.007124,2024_2,Vivienda
-83.7890894,10.2136788,2024_2,Vivienda
-83.0968315,8.6026744,2024_2,Vivienda
-85.0983284,10.4271656,2024_2,Vivienda
-85.11162639999999,9.6830171,2024_2,Vivienda
-84.0557369,9.9330574,2024_2,Vivienda
-83.5070203,10.1064393,2024_2,Vivienda
-84.23188239999999,9.9313063,2024_2,Vivienda
-84.21417009999999,10.0159394,2024_2,Vivienda
-83.8676602,9.8392433,2024_2,Vivienda
-84.1954466,10.0004006,2024_2,Vivienda
-84.06710149999999,9.8995656,2024_2,Vivienda
-84.1716366,9.9884931,2024_2,Vivienda
-84.82502,10.31426,2024_2,Vivienda
-84.1369175,10.0137547,2024_2,Vivienda
-84.14921269999999,10.006574,2024_2,Vivienda
-84.0747275,9.9257827,2024_2,Vivienda
-84.0629919,9.8761455,2024_2,Vivienda
-83.8794068,9.9191464,2024_2,Vivienda
-84.1065662,9.889417800000002,2024_2,Vivienda
-83.73120329999999,9.9014091,2024_2,Vivienda
-84.56414699999999,10.17018,2024_2,Vivienda
-84.21207,9.9691348,2024_2,Vivienda
-84.4421696,10.056354,2024_2,Vivienda
-83.9317497,9.8567953,2024_2,Vivienda
-83.97606359999999,9.9069966,2024_2,Vivienda
-84.0286618,9.8881683,2024_2,Vivienda
-83.8419989,9.7847161,2024_2,Vivienda
-84.0386633,9.9145505,2024_2,Vivienda
-84.0682753,10.0292456,2024_2,Vivienda
-83.8794068,9.9191464,2024_2,Vivienda
-84.21602279999999,10.0151364,2024_2,Vivienda
-84.0157004,10.0065076,2024_2,Vivienda
-84.0668151,9.9486765,2024_2,Vivienda
-84.276558,10.357123,2024_2,Vivienda
-83.9158624,9.8363706,2024_2,Vivienda
-84.033996,9.771035,2024_2,Vivienda
-83.8664076,9.839214,2024_2,Vivienda
-84.16086059999999,10.0044907,2024_2,Vivienda
-83.9274473,9.8869369,2024_2,Vivienda
-84.08540169999999,9.9104636,2024_2,Vivienda
-85.2528421,9.9924778,2024_2,Vivienda
-83.6066925,10.1691156,2024_2,Vivienda
-83.70264300000001,9.3545563,2024_2,Vivienda
-84.0333402,9.9398261,2024_2,Vivienda
-84.1318386,10.007124,2024_2,Vivienda
-82.84200229999999,8.5356528,2024_2,Vivienda
-84.07085400000001,9.789419,2024_2,Vivienda
-83.7890769,10.2136729,2024_2,Vivienda
-84.0643128,9.9888106,2024_2,Vivienda
-84.26080879999999,9.862329400000002,2024_2,Vivienda
-83.70264300000001,9.3545563,2024_2,Vivienda
-84.2199753,9.9887553,2024_2,Vivienda
-84.0014431,9.9039366,2024_2,Vivienda
-84.431595,10.329007,2024_2,Vivienda
-83.9920764,9.9796637,2024_2,Vivienda
-84.0231015,9.9646187,2024_2,Vivienda
-83.99833579999999,9.9243064,2024_2,Vivienda
-84.2130144,10.0299417,2024_2,Vivienda
-83.8579053,10.0351735,2024_2,Vivienda
-84.99842989999999,10.8488127,2024_2,Vivienda
-84.5837904,9.8793334,2024_2,Vivienda
-84.49889399999999,10.1004252,2024_2,Vivienda
-84.276558,10.357123,2024_2,Vivienda
-84.3774086,9.9894976,2024_2,Vivienda
-83.33886079999999,10.0836077,2024_2,Vivienda
-83.93555540000001,9.8650251,2024_2,Vivienda
-84.1318386,10.007124,2024_2,Vivienda
-85.5122981,11.1142555,2024_2,Vivienda
-83.6961197,9.3660235,2024_2,Vivienda
-84.0411929,9.932062,2024_2,Vivienda
